"","x"
"1","b3588"
"2","b1453"
"3","b1166"
"4","b0864"
"5","b4149"
"6","b0999"
"7","b1200"
"8","b1199"
"9","b1198"
"10","b3012"
"11","b2370"
"12","b3429"
"13","b3430"
"14","b3428"
"15","b3049"
"16","b1967"
"17","b1732"
"18","b2687"
"19","b3741"
"20","b1469"
"21","b1283"
"22","b1896"
"23","b1897"
"24","b0708"
"25","b2501"
"26","b2502"
"27","b1646"
"28","b2965"
"29","b2464"
"30","b2465"
"31","b1197"
"32","b3519"
"33","b3494"
"34","b1004"
"35","b0707"
"36","b0865"
"37","b1003"
"38","b1164"
"39","b1284"
"40","b1440"
"41","b2665"
"42","b3038"
"43","b3555"
"44","b3862"
"45","b1165"
"46","b1167"
